File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 4:30:59 PM,2.56535726885701E-02,0
9/28/2017 4:31:15 PM,2.51599002314151E-02,0
9/28/2017 4:31:29 PM,2.53306645607528E-02,0
9/28/2017 4:31:45 PM,2.41986432050755E-02,0
9/28/2017 4:31:59 PM,2.34550395970944E-02,0
9/28/2017 4:32:14 PM,2.22331611521262E-02,0
9/28/2017 4:32:29 PM,2.20305956404843E-02,0
9/28/2017 4:32:44 PM,2.18438947432024E-02,0
9/28/2017 4:33:00 PM,2.18351595503586E-02,0
9/28/2017 4:33:14 PM,2.26008465766143E-02,0
9/28/2017 4:33:30 PM,2.31837227209929E-02,0
9/28/2017 4:33:44 PM,2.39636971452099E-02,0
9/28/2017 4:33:59 PM,2.38310114811665E-02,0
9/28/2017 4:34:14 PM,2.47060756884537E-02,0
9/28/2017 4:34:29 PM,2.48063041755954E-02,0
9/28/2017 4:34:46 PM,2.48700672100282E-02,0
9/28/2017 4:34:59 PM,2.44585306896723E-02,0
9/28/2017 4:35:14 PM,2.33471168099705E-02,0
9/28/2017 4:35:29 PM,2.32828072880974E-02,0
9/28/2017 4:35:44 PM,2.29946653811915E-02,0
9/28/2017 4:35:59 PM,2.35237790203649E-02,0
9/28/2017 4:36:14 PM,2.32949311741872E-02,0
9/28/2017 4:36:29 PM,2.21950897131605E-02,0
9/28/2017 4:36:44 PM,2.21375636968302E-02,0
9/28/2017 4:37:00 PM,2.19171091690846E-02,0
9/28/2017 4:37:15 PM,2.22814750733354E-02,0
9/28/2017 4:37:29 PM,2.22018278869072E-02,0
9/28/2017 4:37:45 PM,2.19565686053511E-02,0
9/28/2017 4:37:59 PM,2.19486571910691E-02,0
9/28/2017 4:38:15 PM,2.20882489819188E-02,0
9/28/2017 4:38:29 PM,0.021956787117648,0
9/28/2017 4:38:44 PM,2.13427390894672E-02,0
9/28/2017 4:38:59 PM,2.09889352968161E-02,0
9/28/2017 4:39:14 PM,2.04931597721719E-02,0
9/28/2017 4:39:30 PM,2.04265853842173E-02,0
9/28/2017 4:39:44 PM,2.00411350714376E-02,0
9/28/2017 4:39:59 PM,2.00445989425167E-02,0
9/28/2017 4:40:15 PM,2.06141855461779E-02,0
9/28/2017 4:40:29 PM,2.02109396787733E-02,0
9/28/2017 4:40:44 PM,0.020176784171493,0
9/28/2017 4:40:59 PM,1.97481180380235E-02,0
9/28/2017 4:41:14 PM,1.98604210707984E-02,0
9/28/2017 4:41:29 PM,1.95186669094649E-02,0
9/28/2017 4:41:44 PM,1.95795579381433E-02,0
9/28/2017 4:41:59 PM,1.93304821962648E-02,0
9/28/2017 4:42:14 PM,1.86876588566866E-02,0
9/28/2017 4:42:30 PM,1.84494522819815E-02,0
9/28/2017 4:42:44 PM,1.76728206880585E-02,0
9/28/2017 4:42:59 PM,1.75040517722832E-02,0
9/28/2017 4:43:14 PM,1.72632323431866E-02,0
9/28/2017 4:43:29 PM,1.72542282216414E-02,0
9/28/2017 4:43:44 PM,1.70486596436387E-02,0
